"lab","topicLabel","source"
"http://ROBOPROF.org/data#COMP6741_Lab02","concordia","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab02/COMP-474-2234-UU_Lab%2520Session_02_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","concordia","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture01/worksheets/worksheet01.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","concordia","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","linked data","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture03/slides/VocabulariesAndOntologies03.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","linked data","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture04/slides/BaseQueries_and_LinkedOpenDataset04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","linked data","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab05/COMP-474-2234-UU_Lab%2520Session_05_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","linked open data","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture03/slides/VocabulariesAndOntologies03.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","linked open data","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture04/slides/BaseQueries_and_LinkedOpenDataset04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","linked open data","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab05/COMP-474-2234-UU_Lab%2520Session_05_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","english","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture06/worksheets/worksheet06.pdf"
