topic,topicLabel,dbpedia_link
http://ROBOPROF.org/data#Unified_Modeling_Language,uml,http://dbpedia.org/resource/Unified_Modeling_Language
http://ROBOPROF.org/data#Latent_semantic_analysis,latent semantic indexing,http://dbpedia.org/resource/Latent_semantic_analysis
http://ROBOPROF.org/data#Concurrent_Versions_System,cvs,http://dbpedia.org/resource/Concurrent_Versions_System
http://ROBOPROF.org/data#Data_dictionary,data dictionary,http://dbpedia.org/resource/Data_dictionary
http://ROBOPROF.org/data#Burger_King,bk,http://dbpedia.org/resource/Burger_King
http://ROBOPROF.org/data#Google_Fit,google fit,http://dbpedia.org/resource/Google_Fit
http://ROBOPROF.org/data#Communication,communication,http://dbpedia.org/resource/Communication
http://ROBOPROF.org/data#World_Wide_Web,internet,http://dbpedia.org/resource/World_Wide_Web
http://ROBOPROF.org/data#Acoustics,acoustic,http://dbpedia.org/resource/Acoustics
http://ROBOPROF.org/data#Bugzilla,bugzilla,http://dbpedia.org/resource/Bugzilla
http://ROBOPROF.org/data#Mercurio_the_4-D_Man,mercurio,http://dbpedia.org/resource/Mercurio_the_4-D_Man
http://ROBOPROF.org/data#Composite_material,matrix,http://dbpedia.org/resource/Composite_material
